tract_id,week,count,city,state
53061041100,2020/4/27,39,430.80386799999997,-1100.280884
53061041201,2020/4/27,8,95.719115,-244.486523
53061041202,2020/4/27,33,334.867796,-855.3206180000001
53061041301,2020/4/27,12,143.37764299999998,-367.15411400000005
53061041303,2020/4/27,65,763.709792,-1956.463651
53061041304,2020/4/27,12,143.63868100000002,-367.216041
53061041400,2020/4/27,28,334.94520800000004,-855.411911
53061041500,2020/4/27,4,48.016086,-122.203352
53061041601,2020/4/27,20,239.21827100000002,-611.3464670000001
53061041605,2020/4/27,16,189.663188,-485.00546199999997
53061041606,2020/4/27,21,239.36769099999998,-611.036976
53061041607,2020/4/27,12,144.128102,-367.33324400000004
53061041608,2020/4/27,20,239.143072,-611.130225
53061041701,2020/4/27,53,526.434334,-1344.2408799999998
53061041703,2020/4/27,39,382.2263459999999,-977.841632
53061041704,2020/4/27,48,526.298324,-1345.2247300000001
53061041805,2020/4/27,44,526.0403670000001,-1344.706357
53061041806,2020/4/27,31,286.180011,-733.879541
53061041808,2020/4/27,12,143.69393,-366.81449100000003
53061041809,2020/4/27,33,381.966381,-978.14382
53061041810,2020/4/27,28,334.735569,-855.538582
53061041811,2020/4/27,34,383.26267100000007,-977.698606
53061041812,2020/4/27,37,431.645082,-1101.0924400000001
53061041901,2020/4/27,32,382.40501199999994,-978.916818
53061041903,2020/4/27,116,620.5802030000001,-1584.7349669999999
53061041904,2020/4/27,41,478.87287599999996,-1222.504731
53061041905,2020/4/27,24,286.854346,-733.665865
53061042001,2020/4/27,20,191.443402,-489.206381
53061042003,2020/4/27,12,142.976272,-366.951533
53061042004,2020/4/27,8,95.873455,-245.076932
53061042005,2020/4/27,18,190.98472299999997,-488.918107
53061042006,2020/4/27,30,334.56043400000004,-856.0694719999999
53061050101,2020/4/27,8,95.676725,-244.64601
53061050102,2020/4/27,22,239.2339,-611.465008
53061050200,2020/4/27,34,382.650876,-976.306709
53061050300,2020/4/27,25,239.22012900000001,-611.585914
53061050401,2020/4/27,27,286.375132,-733.9814389999999
53061050402,2020/4/27,12,143.142179,-366.852595
53061050500,2020/4/27,17,191.234572,-489.39995
53061050600,2020/4/27,12,143.226442,-367.142515
53061050700,2020/4/27,43,477.78220100000004,-1223.354973
53061050800,2020/4/27,24,285.934294,-734.0828989999999
53061050900,2020/4/27,12,143.18431900000002,-366.86701
53061051000,2020/4/27,12,143.347573,-367.000772
53061051100,2020/4/27,25,239.196768,-611.362561
53061051200,2020/4/27,29,286.885897,-734.095147
53061051300,2020/4/27,60,669.8546729999998,-1712.1502349999998
53061051400,2020/4/27,49,477.6505420000001,-1223.2949680000002
53061051500,2020/4/27,37,382.347079,-978.5895339999998
53061051601,2020/4/27,33,335.04139699999996,-856.0006070000002
53061051602,2020/4/27,28,334.177834,-855.706903
53061051701,2020/4/27,55,620.456497,-1589.7749350000001
53061051702,2020/4/27,24,287.085788,-733.286507
53061051802,2020/4/27,16,190.924082,-489.266461
53061051803,2020/4/27,17,191.46105,-489.29405999999994
53061051804,2020/4/27,13,143.564118,-366.33756900000003
53061051905,2020/4/27,36,429.78790000000004,-1098.551185
53061051912,2020/4/27,8,95.554883,-244.295654
53061051913,2020/4/27,64,764.612987,-1955.915615
53061051914,2020/4/27,24,286.034462,-733.765067
53061051915,2020/4/27,45,477.58715199999995,-1222.4888560000002
53061051916,2020/4/27,24,286.966964,-733.539937
53061051917,2020/4/27,30,334.050636,-855.861313
53061051918,2020/4/27,16,191.323601,-488.880328
53061051921,2020/4/27,28,333.80739500000004,-855.6771299999999
53061051922,2020/4/27,36,429.302608,-1100.261324
53061051923,2020/4/27,58,430.15154800000005,-1096.136209
53061051924,2020/4/27,36,429.261978,-1100.8308610000001
53061051925,2020/4/27,29,334.13014,-855.454274
53061051926,2020/4/27,43,477.306276,-1221.853411
53061051927,2020/4/27,25,286.388754,-733.808535
53061051928,2020/4/27,28,334.629941,-855.462354
53061052003,2020/4/27,59,620.2254280000001,-1589.8525960000002
53061052004,2020/4/27,41,477.26326399999994,-1222.059499
53061052005,2020/4/27,22,239.09186599999998,-611.0875279999999
53061052006,2020/4/27,10,95.700917,-244.378459
53061052007,2020/4/27,30,335.01778,-855.4746339999999
53061052104,2020/4/27,20,192.291457,-488.613152
53061052105,2020/4/27,8,95.768354,-244.440371
53061052107,2020/4/27,24,286.364759,-733.028012
53061052108,2020/4/27,20,239.551769,-610.8131109999999
53061052112,2020/4/27,25,286.503419,-732.416692
53061052113,2020/4/27,8,95.44638,-244.626449
53061052114,2020/4/27,36,431.229486,-1100.5489850000001
53061052115,2020/4/27,36,430.50446700000003,-1099.738851
53061052118,2020/4/27,20,239.063701,-610.7368839999999
53061052203,2020/4/27,47,478.007829,-1220.5160270000001
53061052204,2020/4/27,51,525.130811,-1343.183484
53061052206,2020/4/27,12,143.474062,-364.555033
53061052207,2020/4/27,8,95.536681,-244.167092
53061052208,2020/4/27,16,191.358854,-488.422777
53061052209,2020/4/27,13,143.234305,-365.821091
53061052301,2020/4/27,25,287.562876,-732.345969
53061052302,2020/4/27,20,239.07286200000001,-610.09205
53061052401,2020/4/27,16,191.441353,-488.857494
53061052402,2020/4/27,18,191.53834600000002,-488.496266
53061052502,2020/4/27,21,238.29085999999998,-610.9295539999999
53061052503,2020/4/27,36,431.147555,-1099.5722179999998
53061052504,2020/4/27,13,143.613291,-366.49528000000004
53061052603,2020/4/27,20,241.00715099999996,-611.626903
53061052604,2020/4/27,9,95.997064,-244.310411
53061052605,2020/4/27,53,575.8467919999999,-1465.3279000000002
53061052606,2020/4/27,41,479.662294,-1221.7772710000002
53061052607,2020/4/27,20,240.07467099999997,-610.388692
53061052701,2020/4/27,5,48.047865,-122.178279
53061052705,2020/4/27,57,623.618171,-1588.6048039999998
53061052706,2020/4/27,46,526.338301,-1343.66604
53061052707,2020/4/27,16,191.89409799999999,-488.580424
53061052708,2020/4/27,62,672.1206149999999,-1710.2148530000002
53061052709,2020/4/27,17,144.146633,-366.353653
53061052803,2020/4/27,24,287.207527,-733.425533
53061052804,2020/4/27,60,719.17787,-1833.10345
53061052805,2020/4/27,20,239.640514,-610.930421
53061052806,2020/4/27,44,480.36172799999997,-1220.975367
53061052903,2020/4/27,8,96.102736,-244.312828
53061052904,2020/4/27,29,335.57516499999997,-855.680001
53061052905,2020/4/27,24,287.269714,-733.8912680000001
53061052906,2020/4/27,16,143.74179,-366.209932
53061053101,2020/4/27,36,431.957978,-1099.591418
53061053102,2020/4/27,12,143.708191,-366.86992399999997
53061053201,2020/4/27,17,191.49743800000002,-489.492253
53061053202,2020/4/27,4,47.916012,-122.256872
53061053301,2020/4/27,32,385.24971299999993,-978.7833870000001
53061053302,2020/4/27,20,240.334792,-612.346849
53061053400,2020/4/27,16,191.604891,-488.87037000000004
53061053504,2020/4/27,65,721.9732799999999,-1832.710826
53061053505,2020/4/27,25,287.121872,-733.175869
53061053506,2020/4/27,16,192.801438,-488.486373
53061053507,2020/4/27,21,240.37580099999997,-610.7175100000001
53061053508,2020/4/27,36,431.30107,-1099.6676400000001
53061053509,2020/4/27,32,384.13393499999995,-977.7210259999999
53061053602,2020/4/27,24,287.020134,-730.842933
53061053603,2020/4/27,23,240.006848,-611.323621
53061053604,2020/4/27,42,479.02124599999996,-1219.885596
53061053700,2020/4/27,12,144.366809,-366.000457
53061053801,2020/4/27,13,143.713076,-365.569727
53061053802,2020/4/27,26,286.75327699999997,-731.7568590000001
53061053803,2020/4/27,24,286.836878,-732.54821
53061940001,2020/4/27,12,144.04619,-366.540272
53061940002,2020/4/27,12,143.72965,-366.290605
53063000200,2020/4/27,44,476.962347,-1174.056225
53063000300,2020/4/27,26,286.17215999999996,-704.137262
53063000400,2020/4/27,40,429.14393300000006,-1056.545435
53063000500,2020/4/27,24,238.252422,-587.292797
53063000600,2020/4/27,12,143.118256,-352.385267
53063000700,2020/4/27,24,286.570284,-704.456254
53063000800,2020/4/27,55,572.3408850000001,-1409.4714119999999
53063000900,2020/4/27,38,429.18592400000006,-1056.600678
53063001000,2020/4/27,39,382.679451,-942.0051010000001
53063001100,2020/4/27,16,190.80353300000002,-469.715501
53063001300,2020/4/27,19,190.77387099999999,-469.830007
53063001400,2020/4/27,36,429.19624799999997,-1056.76822
53063001500,2020/4/27,53,572.180382,-1408.455349
53063001600,2020/4/27,39,429.215368,-1056.568258
53063001800,2020/4/27,17,190.678676,-469.46583000000004
53063001900,2020/4/27,36,286.118625,-704.66261
53063002000,2020/4/27,20,238.425161,-587.145773
53063002100,2020/4/27,8,95.342469,-234.82747999999998
53063002300,2020/4/27,21,190.623452,-469.601701
53063002400,2020/4/27,7,47.727108,-117.428214
53063002500,2020/4/27,39,429.118111,-1056.869343
53063002600,2020/4/27,46,524.114857,-1296.285887
53063002900,2020/4/27,28,333.575949,-821.494482
53063003000,2020/4/27,16,190.631457,-469.408094
53063003100,2020/4/27,41,476.399905,-1173.98172
53063003200,2020/4/27,4,47.637894,-117.422356
53063003500,2020/4/27,32,380.723682,-944.405064
53063003600,2020/4/27,63,667.336834,-1643.863085
53063003800,2020/4/27,46,428.898064,-1056.711362
53063003900,2020/4/27,21,238.30125499999997,-587.248707
53063004000,2020/4/27,29,333.66640100000006,-821.954549
53063004100,2020/4/27,17,190.554042,-469.66814999999997
53063004200,2020/4/27,35,381.19093200000003,-939.171307
53063004300,2020/4/27,38,428.762781,-1056.922722
53063004400,2020/4/27,29,333.191933,-826.946175
53063004500,2020/4/27,24,285.82927000000007,-704.4434940000001
53063004601,2020/4/27,27,285.954422,-704.627457
53063004602,2020/4/27,29,333.47441,-822.149386
53063004700,2020/4/27,82,953.445428,-2352.494231
53063004800,2020/4/27,20,238.09776,-592.151449
53063004900,2020/4/27,47,476.467665,-1174.253542
53063005000,2020/4/27,16,190.639922,-469.858816
53063010100,2020/4/27,32,381.57416099999995,-938.047682
53063010201,2020/4/27,9,95.62790799999999,-234.80544600000002
53063010202,2020/4/27,40,429.515989,-1055.901398
53063010301,2020/4/27,36,334.672735,-827.138962
53063010303,2020/4/27,26,286.76887600000003,-704.750448
53063010304,2020/4/27,40,430.332789,-1056.5881029999998
53063010305,2020/4/27,4,47.74488,-117.423076
53063010401,2020/4/27,52,524.276265,-1292.4635019999998
53063010402,2020/4/27,39,333.593788,-826.848477
53063010501,2020/4/27,39,380.890252,-938.918166
53063010503,2020/4/27,60,571.704546,-1412.2446830000004
53063010504,2020/4/27,8,95.480354,-234.854088
53063010601,2020/4/27,56,429.3575,-1057.181599
53063010602,2020/4/27,74,715.730801,-1761.9628820000003
53063010700,2020/4/27,57,572.9148170000001,-1409.278038
53063010800,2020/4/27,20,238.757775,-586.971986
53063010900,2020/4/27,30,286.234387,-704.8856860000001
53063011000,2020/4/27,8,95.334452,-234.763401
53063011101,2020/4/27,42,427.317364,-1061.6637919999998
53063011102,2020/4/27,31,334.02412499999997,-821.8763260000001
53063011201,2020/4/27,36,381.86499100000003,-939.4239870000001
53063011202,2020/4/27,41,477.08533800000004,-1173.9187900000002
53063011300,2020/4/27,55,619.8848839999999,-1524.9892399999999
53063011400,2020/4/27,33,333.89677500000005,-820.8063549999999
53063011600,2020/4/27,38,333.783915,-821.2576180000001
53063011701,2020/4/27,16,190.613628,-469.34017400000005
53063011702,2020/4/27,35,381.32037599999995,-938.4170069999999
53063011800,2020/4/27,12,142.99933099999998,-351.926887
53063011900,2020/4/27,21,238.33739000000003,-586.4722
53063012000,2020/4/27,12,143.005911,-351.987048
53063012100,2020/4/27,12,143.12073700000002,-352.086459
53063012200,2020/4/27,32,381.438479,-943.60119
53063012300,2020/4/27,16,190.819431,-469.142379
53063012401,2020/4/27,32,381.28736000000004,-938.1377029999999
53063012402,2020/4/27,36,381.303297,-938.2902369999999
53063012500,2020/4/27,21,238.50777699999998,-586.9134369999999
53063012600,2020/4/27,13,143.043295,-351.929409
53063012701,2020/4/27,8,95.234767,-234.960059
53063012702,2020/4/27,26,286.20966699999997,-704.25069
53063012801,2020/4/27,28,333.63560099999995,-821.415534
53063012802,2020/4/27,4,47.625917,-117.260545
53063012901,2020/4/27,20,238.303178,-586.555095
53063012902,2020/4/27,28,333.5701240000001,-821.2509680000001
53063013000,2020/4/27,39,382.293771,-938.7693229999998
53063013100,2020/4/27,53,571.866354,-1407.885204
53063013201,2020/4/27,20,238.483765,-585.6821729999999
53063013202,2020/4/27,88,619.6284110000001,-1523.0629359999998
53063013300,2020/4/27,8,95.34903800000001,-234.35759000000002
53063013401,2020/4/27,43,428.603776,-1056.804924
53063013500,2020/4/27,56,571.6076850000001,-1409.2287430000001
53063013600,2020/4/27,22,238.554166,-587.3697109999999
53063013700,2020/4/27,23,238.32280500000002,-587.493957
53063013800,2020/4/27,38,428.939163,-1057.981153
53063013900,2020/4/27,54,619.2475000000002,-1527.9324139999999
53063014001,2020/4/27,36,381.08741200000003,-940.0423330000001
53063014002,2020/4/27,34,332.605749,-823.002201
53063014100,2020/4/27,63,714.3364730000001,-1763.7650050000002
53063014200,2020/4/27,4,47.479457,-117.595107
53063014300,2020/4/27,8,95.389772,-234.816572
53063014400,2020/4/27,62,667.589809,-1643.548972
53063014500,2020/4/27,38,429.325438,-1056.8529959999998
