safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,city,region,x,y,dist.meters.,area_square_feet
sg:c8c4192215fa4695b028cb27730dd61a,246769,420251,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3019404,46.28586647,11235.69738,18795580
sg:5940b7db23574170a0b41017a018ab5e,409676,258543,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3019741,46.27413901,3204.974629,126661
sg:111d430ebcd749b99e8846f3df156c27,111295,317923,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.2944986,46.26637634,2395.145169,587012
sg:2f4cb50b2b904907a40a598b6826f18c,111294,408386,5.3005E+11,4,2020/4/27,Richland,WA,-119.2944986,46.26637634,97.35367848,118347
sg:edb57c61e1fd47d6af41ccca25d38880,111293,86046,5.3005E+11,9,2020/4/27,Kennewick,WA,-119.2944986,46.26637634,458.778449,1136461
sg:06ffcfe8c8e5444697056cadc0e6e963,246738,205986,5.3005E+11,4,2020/4/27,Richland,WA,-119.3132636,46.28119566,1417.177417,69572
sg:0fe2141b72104f558f960a2adac5483c,246737,429696,5.3005E+11,10,2020/4/27,Kennewick,WA,-119.3132636,46.28119566,159.4479536,11651256
sg:c8c4192215fa4695b028cb27730dd61a,246736,420228,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3132636,46.28119566,11691.10353,18795580
sg:0fe2141b72104f558f960a2adac5483c,246756,429697,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.2940321,46.28640782,1611.636679,11651256
sg:111d430ebcd749b99e8846f3df156c27,246755,317924,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2940321,46.28640782,1183.402926,587012
sg:4745d5e65034484393204a813efc8ff8,246754,326313,5.3005E+11,4,2020/4/27,Pasco,WA,-119.2940321,46.28640782,12622.24867,1783288
sg:912dc6efa96141fdbd9a6e329d8d0273,246753,48439,5.3005E+11,4,2020/4/27,Richland,WA,-119.2940321,46.28640782,3344.385062,947
sg:a00c55821aff4241a060f4b2d8bd5121,246752,355074,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2940321,46.28640782,2332.422056,1621367
sg:c8c4192215fa4695b028cb27730dd61a,246751,420239,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2940321,46.28640782,10777.64712,18795580
sg:79501949fd7547fcb255c42df1250de2,382583,374264,5.3005E+11,4,2020/4/27,Richland,WA,-119.2935857,46.27742044,4323.216623,2716841
sg:226b5d59b125429480fe16dfc09847ef,438942,13499,5.3005E+11,4,2020/4/27,Richland,WA,-119.293564,46.2723232,4081.747429,126289
sg:94a1a2bfc66840a1a51559f291cbbd48,335331,359059,5.3005E+11,4,2020/4/27,Pasco,WA,-119.2792671,46.28727522,8312.986301,217949
sg:95aea1c0f2cd4c80b7c7fbb27ad567f7,335330,88450,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2792671,46.28727522,569.4301365,395143
sg:a00c55821aff4241a060f4b2d8bd5121,335329,355091,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2792671,46.28727522,1715.695506,1621367
sg:2f4cb50b2b904907a40a598b6826f18c,164876,408385,5.3005E+11,4,2020/4/27,Richland,WA,-119.2874201,46.28629773,2333.145649,118347
sg:5940b7db23574170a0b41017a018ab5e,164875,258538,5.3005E+11,8,2020/4/27,Kennewick,WA,-119.2874201,46.28629773,1454.667576,126661
sg:61098c8e6e6446448dba429b88c2cd78,164874,332363,5.3005E+11,4,2020/4/27,Richland,WA,-119.2874201,46.28629773,717.4653415,43801
sg:7beb5f3d7b6643a5bcc0eb7eee0890bc,164873,169998,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2874201,46.28629773,16526.88058,119804
sg:981a982d677f42e8abb49610c1ff0c79,164872,84616,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2874201,46.28629773,13375.54357,203355
sg:a00c55821aff4241a060f4b2d8bd5121,164871,355067,5.3005E+11,6,2020/4/27,Kennewick,WA,-119.2874201,46.28629773,1957.819491,1621367
sg:ba88391bd612471b82fb332c976552fd,164870,289040,5.3005E+11,4,2020/4/27,Richland,WA,-119.2874201,46.28629773,2067.649263,173506
sg:e27d8ede359c430088bdebf26f316a93,164869,200876,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2874201,46.28629773,5563.786083,1807184
sg:06204140888745589f39533e68e681bb,282703,219390,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2768973,46.27036378,14498.0997,44172
sg:64ac2ada6e084753b227372341daaa69,282702,395909,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2768973,46.27036378,5975.045754,110771
sg:79501949fd7547fcb255c42df1250de2,282701,374257,5.3005E+11,4,2020/4/27,Richland,WA,-119.2768973,46.27036378,4533.432897,2716841
sg:ba88391bd612471b82fb332c976552fd,282700,289039,5.3005E+11,5,2020/4/27,Richland,WA,-119.2768973,46.27036378,586.3155266,173506
sg:5940b7db23574170a0b41017a018ab5e,374984,258542,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2708616,46.26269346,3880.141232,126661
sg:81b46e5f6e2c44c091c1f11a54e387e7,374983,411127,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2708616,46.26269346,15145.49191,559368
sg:776c67b4fd634cdfb8c365de8ed2f099,384428,13765,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2792396,46.26463743,21230.03527,5548030
sg:111d430ebcd749b99e8846f3df156c27,111315,317931,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.284473,46.26535277,2224.640684,587012
sg:79501949fd7547fcb255c42df1250de2,111314,374252,5.3005E+11,4,2020/4/27,Richland,WA,-119.284473,46.26535277,5231.536899,2716841
sg:8f14d53d845b4b74bcf7999a07b15999,111313,126435,5.3005E+11,5,2020/4/27,Richland,WA,-119.284473,46.26535277,4125.771807,129731
sg:c8c4192215fa4695b028cb27730dd61a,111312,420213,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.284473,46.26535277,8895.01983,18795580
sg:edb57c61e1fd47d6af41ccca25d38880,111311,86050,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.284473,46.26535277,353.8627595,1136461
sg:3f99bf576c2d4b11b73110552eb4f4fb,425771,167247,5.3005E+11,4,2020/4/27,Richland,WA,-119.258967,46.25783061,4085.065222,145674
sg:a00c55821aff4241a060f4b2d8bd5121,319963,355089,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.4435141,46.29002327,13449.98013,1621367
sg:a882482277bc497b85ada42ba430096a,319962,155818,5.3005E+11,6,2020/4/27,Kennewick,WA,-119.4435141,46.29002327,19406.50079,1092955
sg:0fe2141b72104f558f960a2adac5483c,251300,429701,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,4285.260627,11651256
sg:111d430ebcd749b99e8846f3df156c27,251299,317937,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,5966.15314,587012
sg:43e51f7a00b0429696bc0fdef8aba6ef,251298,132969,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,1135.858339,476858
sg:6e58fdcb24e844b3bd08a6acd853ffa6,251297,77870,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,22022.71411,48804
sg:b6a5f92c53554880b1e602aff5118bbe,251296,421940,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,795.4564645,12514
sg:c71eeab79c9645c791f218fc56eebcf8,251295,92023,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.3473547,46.30995505,876.930141,21330
sg:43e51f7a00b0429696bc0fdef8aba6ef,382580,132971,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.4121038,46.35034335,7445.376993,476858
sg:79501949fd7547fcb255c42df1250de2,382579,374249,5.3005E+11,4,2020/4/27,Richland,WA,-119.4121038,46.35034335,12335.28291,2716841
sg:5833faff7bb44fd6a4b7c5e000113f05,188244,104263,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.429059,46.32597808,11066.58352,2589
sg:72d7f6a0fc04409a8f27164abdeea179,188243,334755,5.3005E+11,4,2020/4/27,Yakima,WA,-119.429059,46.32597808,95136.17817,815361
sg:79501949fd7547fcb255c42df1250de2,188242,374247,5.3005E+11,4,2020/4/27,Richland,WA,-119.429059,46.32597808,12921.56743,2716841
sg:a00c55821aff4241a060f4b2d8bd5121,188241,355076,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.429059,46.32597808,13544.54802,1621367
sg:b8d63e67b42a419b807e302592afad7b,188240,1618,5.3005E+11,7,2020/4/27,Kennewick,WA,-119.429059,46.32597808,5473.940115,67520
