safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,latitude,longitude,city,region,x,y,dist.meters.,area_square_feet
sg:0fe2141b72104f558f960a2adac5483c,624512,779116,530050000000 ,6,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.4863533,46.25996379,13569.80662,11651256
sg:0fe2141b72104f558f960a2adac5483c,856350,779128,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.332127,46.2912686,1966.86534,11651256
sg:0fe2141b72104f558f960a2adac5483c,311754,779122,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3019404,46.28586647,1064.969142,11651256
sg:0fe2141b72104f558f960a2adac5483c,701789,779131,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3438318,46.29245303,2782.156664,11651256
sg:0fe2141b72104f558f960a2adac5483c,288108,779125,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.1327203,46.1948819,16786.26619,11651256
sg:0fe2141b72104f558f960a2adac5483c,588903,779121,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3531984,46.28111922,3127.424035,11651256
sg:0fe2141b72104f558f960a2adac5483c,843067,779130,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.590267,46.32937401,22083.71101,11651256
sg:0fe2141b72104f558f960a2adac5483c,542112,779117,530050000000 ,5,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.4836359,46.28445497,13186.69848,11651256
sg:0fe2141b72104f558f960a2adac5483c,424900,779123,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3350926,46.33280892,6137.988863,11651256
sg:0fe2141b72104f558f960a2adac5483c,777040,779132,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.501472,46.27574115,14559.47238,11651256
sg:0fe2141b72104f558f960a2adac5483c,753669,779129,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.2671785,46.29734135,4009.622749,11651256
sg:1061f35e5d1e4b43922fecefa12a9762,619049,408081,530050000000 ,4,2019/4/29,46.253905,-119.896716,Grandview,WA,-119.7107502,46.25162987,14342.01455,77318
sg:111d430ebcd749b99e8846f3df156c27,424848,712993,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.4121038,46.35034335,12576.88706,587012
sg:111d430ebcd749b99e8846f3df156c27,311753,713004,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.3019404,46.28586647,1784.871071,587012
sg:111d430ebcd749b99e8846f3df156c27,474865,713002,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.3317658,46.27916965,4131.605732,587012
sg:111d430ebcd749b99e8846f3df156c27,424781,712991,530050000000 ,5,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.3363777,46.26657373,4885.719601,587012
sg:111d430ebcd749b99e8846f3df156c27,354687,713000,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2798217,46.2971388,1353.98179,587012
sg:111d430ebcd749b99e8846f3df156c27,311703,712997,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2792671,46.28727522,257.7172408,587012
sg:111d430ebcd749b99e8846f3df156c27,474847,713003,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2928601,46.30025966,2014.118905,587012
sg:111d430ebcd749b99e8846f3df156c27,424775,712998,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2764076,46.24519999,4425.477725,587012
sg:111d430ebcd749b99e8846f3df156c27,424811,713007,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2874201,46.28629773,679.1748163,587012
sg:111d430ebcd749b99e8846f3df156c27,447434,712994,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.204351,46.20338748,10734.59956,587012
sg:111d430ebcd749b99e8846f3df156c27,753668,712992,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2671785,46.29734135,1640.923256,587012
sg:111d430ebcd749b99e8846f3df156c27,424764,713008,530050000000 ,4,2019/4/29,46.284978,-119.278815,Kennewick,WA,-119.2550405,46.23374324,5982.794466,587012
sg:125424d1943e4f0faf4969f804aeef3d,588892,47675,530050000000 ,5,2019/4/29,46.218258,-119.17254,Kennewick,WA,-119.1771933,46.22154764,512.4561199,100641
sg:13404f6ef36d426cbd61aa7169590ba3,424847,801558,530050000000 ,4,2019/4/29,46.29729,-119.291939,Richland,WA,-119.4121038,46.35034335,10973.28013,41368
sg:13404f6ef36d426cbd61aa7169590ba3,619015,801556,530050000000 ,4,2019/4/29,46.29729,-119.291939,Richland,WA,-119.2897618,46.29605003,217.1101735,41368
sg:13404f6ef36d426cbd61aa7169590ba3,221840,801555,530050000000 ,4,2019/4/29,46.29729,-119.291939,Richland,WA,-119.1641329,46.20914914,13896.42334,41368
sg:13c9a8ce8a1f4bbab31ea66b54373f10,588881,466898,530050000000 ,4,2019/4/29,46.245203,-119.205386,Kennewick,WA,-119.1748551,46.20129856,5418.94693,1013867
sg:13c9a8ce8a1f4bbab31ea66b54373f10,588878,466900,530050000000 ,4,2019/4/29,46.245203,-119.205386,Kennewick,WA,-119.1431914,46.19496505,7362.795934,1013867
sg:16ed184c75da4da496176a9242589c05,263882,110462,530050000000 ,4,2019/4/29,46.049565,-118.363935,Walla Walla,WA,-119.1169385,46.16342141,59577.53438,8695022
sg:1ab8685ffd044b0d82d4908035f7fabc,424854,29594,530050000000 ,4,2019/4/29,47.662199,-117.420706,Spokane,WA,-119.272146,46.20261733,214944.8324,2159581
sg:1ab8685ffd044b0d82d4908035f7fabc,424774,29584,530050000000 ,4,2019/4/29,47.662199,-117.420706,Spokane,WA,-119.2764076,46.24519999,211574.231,2159581
sg:226b5d59b125429480fe16dfc09847ef,311752,4602,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.3019404,46.28586647,5467.353499,126289
sg:226b5d59b125429480fe16dfc09847ef,311776,4607,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.3319523,46.25174321,2541.29779,126289
sg:226b5d59b125429480fe16dfc09847ef,424773,4606,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.2764076,46.24519999,2537.697116,126289
sg:226b5d59b125429480fe16dfc09847ef,851322,4603,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.3568563,46.29521583,7544.739219,126289
sg:226b5d59b125429480fe16dfc09847ef,130565,4608,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.3202473,46.1879838,5522.208672,126289
sg:226b5d59b125429480fe16dfc09847ef,474876,4600,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.2795635,46.30362023,7722.237473,126289
sg:226b5d59b125429480fe16dfc09847ef,311716,4599,530050000000 ,5,2019/4/29,46.236806,-119.307006,Richland,WA,-119.3069095,46.23024402,729.4404457,126289
sg:226b5d59b125429480fe16dfc09847ef,424799,4604,530050000000 ,4,2019/4/29,46.236806,-119.307006,Richland,WA,-119.2625528,46.32847053,10749.67111,126289
sg:244ee28ce8484536aa7261b5bb4fd42f,588877,158612,530050000000 ,4,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.1431914,46.19496505,7568.54419,256439
sg:244ee28ce8484536aa7261b5bb4fd42f,588812,158614,530050000000 ,4,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.2289071,46.20487683,1627.444549,256439
sg:244ee28ce8484536aa7261b5bb4fd42f,130564,158610,530050000000 ,5,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.3202473,46.1879838,7421.751353,256439
sg:244ee28ce8484536aa7261b5bb4fd42f,577221,158609,530050000000 ,6,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.2301384,46.2176862,398.9179955,256439
sg:244ee28ce8484536aa7261b5bb4fd42f,424839,158608,530050000000 ,9,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.2382716,46.22051024,309.4573937,256439
sg:244ee28ce8484536aa7261b5bb4fd42f,474857,158613,530050000000 ,4,2019/4/29,46.218892,-119.235008,Kennewick,WA,-119.2397966,46.2300794,1297.261103,256439
sg:24a73a91d65e4a2f89acb7f111d6e9aa,424772,501468,530050000000 ,6,2019/4/29,47.472061,-122.250492,Seattle,WA,-119.2764076,46.24519999,264616.3317,774889
